,summary,url
0,"Документация RuStore представляет информацию о консоли, технологиях и инструментах в RuStore для пользователей и разработчиков. Она включает в себя описание магазина приложений, RuStore консоли, SDK и API, а также сценарии использования. Авторство принадлежит компании VK.",https://www.rustore.ru/help/
1,"Контактная информация для пользователей и разработчиков приложения RuStore, доступ к документации и техническая поддержка.",https://www.rustore.ru/help/contact-suppor
2,"RuStore предоставляет помощь разработчикам в создании и управлении приложениями, а также предоставляет инструкции и руководства. Для управления приложениями используется система управления контентом RuStore Консоль, доступ к которой осуществляется через единый аккаунт VK ID.",https://www.rustore.ru/help/developers/
3,"Документ описывает возможности рекламы и продвижения в RuStore. В нем рассматриваются различные способы продвижения контента, такие как добавление кнопки ""Скачайте из RuStore"", VK реклама и подача заявок на события.",https://www.rustore.ru/help/developers/advertising-and-promotion/
4,"Данная страница описывает процесс подачи заявок на события в RuStore Console, который позволяет разработчикам предлагать мероприятия, увеличивающие мотивацию пользователей к установке и использованию приложений. Предоставляется информация о создании заявки, сроках рассмотрения и требованиях к заполнению формы.",https://www.rustore.ru/help/developers/advertising-and-promotion/events
5,"Текст содержит информацию о том, что фичеринг в магазине приложений RuStore является тематическими подборками, выделяющими качественные и интересные приложения. Попадание в фичеринг увеличивает видимость и количество установок приложения. Редакция составляет подборки, опираясь на критерии, такие как количество установок, рейтинг, отзывы, регулярные обновления и соответствие требованиям магазина. Размещение кнопки ""Скачайте из RuStore"" или использование рекламы может помочь привлечь больше пользователей. Влиять на выбор редакции нельзя, но разработчики могут повысить шансы своего приложения на попадание в фичеринг.",https://www.rustore.ru/help/developers/advertising-and-promotion/featuring
6,Текст предоставляет инструкцию по встраиванию произвольной подборки приложений из RuStore на сторонние ресурсы с помощью использования iframe и соответствующей ссылки.,https://www.rustore.ru/help/developers/advertising-and-promotion/iframe
7,"Страница содержит инструкцию и примеры для добавления кнопки ""Скачайте из RuStore"" на сайт с использованием различных версий логотипа в форматах SVG и PNG. Предоставлены ссылки для загрузки логотипов разного стиля и размера для различных категорий приложений. Также приведены указания по добавлению логотипа на сайт с использованием специального кода.",https://www.rustore.ru/help/developers/advertising-and-promotion/rustore-button
8,Настройте кнопку «Действия» в сообществе ВКонтакте для скачивания приложения напрямую из RuStore.,https://www.rustore.ru/help/developers/advertising-and-promotion/vk-link
9,"Теперь разработчики могут продвигать свои приложения в RuStore с помощью рекламы через VK Реклама. Статья рассказывает о шагах и советах по настройке рекламной кампании, добавлении приложения через VK Реклама и о том, как реклама отображается для пользователей.",https://www.rustore.ru/help/developers/advertising-and-promotion/vk-marketing
10,"Текст предоставляет инструкции по получению отпечатка подписи APK с помощью различных инструментов, таких как Android Studio, apksigner и keytool. Полученный отпечаток нужен для проверки подписи приложений, включая использование в пуш-уведомлениях.",https://www.rustore.ru/help/developers/check-apk-signature
11,"Документация о регистрации аккаунта разработчика в RuStore Консоли, получении VK ID и управлении ролями пользователей. Подробности о добавлении дополнительных разработчиков и управлении аккаунтом.",https://www.rustore.ru/help/developers/developer-accoun
12,"Текст содержит информацию о добавлении дополнительных разработчиков в RuStore Console. Владелец компании может добавить разработчика, который авторизуется под своим VK ID и передает его владельцу компании. После этого владелец добавляет VK ID разработчика к соответствующему приложению, что дает разработчику доступ к этому приложению для управления и публикации. Разработчик не имеет прав создавать компании, приложения или добавлять других разработчиков.",https://www.rustore.ru/help/developers/developer-account/add-developer
13,"Регистрация разработчиков в RuStore: шаги и опции, описаны два варианта регистрации - для юридических и физических лиц, с соответствующими требованиями и процессом верификации.",https://www.rustore.ru/help/developers/developer-account/registration-developer/
14,"Документация для разработчиков по регистрации аккаунта, получению VK ID и добавлению дополнительных разработчиков в RuStore.",https://www.rustore.ru/help/developers/developer-account/registration-developer/foreign-company-developer-accoun
15,"Документация для разработчиков RuStore включает информацию о регистрации аккаунта разработчика, получении VK ID и добавлении дополнительных руководств.",https://www.rustore.ru/help/developers/developer-account/registration-developer/registration-f
16,"Документация для разработчиков RuStore включает в себя инструкции по регистрации аккаунта разработчика для юридических и физических лиц, а также иностранных компаний. Также предоставляется информация о том, как узнать VK ID и добавить дополнительную информацию в профиль.",https://www.rustore.ru/help/developers/developer-account/registration-developer/registration
17,"Документ описывает процесс управления доступами и назначением ролей пользователям в RuStore Консоли. Пользователям можно назначить различные роли, такие как владелец компании, администратор, разработчик и другие, с определенными правами и обязанностями. Рассматриваются шаги по добавлению, редактированию и удалению пользователей, а также доступные для выбора роли.",https://www.rustore.ru/help/developers/developer-account/user-roles
18,"Текст содержит информацию о том, как найти и привязать VK ID к профилю на RuStore Консоль для разработчиков. VK ID является единым аккаунтом для сервисов ВКонтакте, и его можно найти в настройках профиля на сайте. Необходимо войти в профиль ВКонтакте, перейти в раздел ""Настройки"" и найти блок ""Адрес страницы"". VK ID можно использовать для авторизации и других действий на платформе RuStore.",https://www.rustore.ru/help/developers/developer-account/your-vkid
19,"RuStore Консоль предоставляет разработчикам важные данные о своих приложениях, включая количество скачиваний, прибыль, push-уведомления и другие показатели.",https://www.rustore.ru/help/developers/developer-statistics/
20,"На странице ""Статистика по монетизации"" в документации RuStore описано, как использовать статистику по платежам для эффективного управления приложением. Разработчики могут просматривать финансовые данные в Консоли RuStore для оценки динамики продаж, включая конкретный контент или подписи.",https://www.rustore.ru/help/developers/developer-statistics/monetization-sta
21,"Статья о том, как использовать статистику push-уведомлений для оптимизации взаимодействия с пользователями в [Консоли RuStore](https://console.rustore.ru/sign-in). Рассматривается просмотр данных по отправленным, доставленным уведомлениям, а также тем, кто перешел в приложение после клика по уведомлению.",https://www.rustore.ru/help/developers/developer-statistics/push-notification-sta
22,"Текст представляет собой инструкцию по просмотру статистики загрузки версий приложений в Консоли RuStore. Пользователям предоставляется возможность анализа данных о скачиваниях приложений, статистике по версиям операционной системы пользователей и моделям устройств. Инструкция включает в себя шаги по просмотру различных таблиц статистики и сортировки данных для удобства анализа.",https://www.rustore.ru/help/developers/developer-statistics/versions-download-sta
23,"Документация для разработчиков на русском языке предоставляет информацию о работе с RuStore SDK, API, публикации приложений, монетизации, рекламе, инструментах и статистике. В разделе ""Вопросы и ответы"" разбираются темы отчётности и монетизации, а также работа с платежами.",https://www.rustore.ru/help/developers/faq
24,"На странице ""Отчетность и монетизация"" раздела для разработчиков РуСтор содержится информация о процессе чарджбэк/отмененного платежа. Пользователь может оспорить списание средств после акцептации chargeback, предоставив необходимые доказательства и начав процесс оспаривания через банк-эквайер.",https://www.rustore.ru/help/developers/faq/legal-faq
25,"Документация о работе с платежами в RuStore SDK, включая информацию о бесплатном периоде подписки, подписании заявлений на монетизацию, изменении типа аккаунта и запросах возвратов. Также содержит ответы на вопросы о создании уникальных идентификаторов товаров, отмене подписки через SDK и подтверждении получения подписки с помощью API.",https://www.rustore.ru/help/developers/faq/payments-faq
26,"Текст представляет собой руководство по монетизации в RuStore, где описаны шаги для подключения и настройки платежей. Для этого необходимо заполнить заявление на монетизацию, настроить RuStoreSDK для подключения платежей и создать подписки или разовые покупки в приложении.",https://www.rustore.ru/help/developers/monetization/
27,"Инструкция по созданию подписки на приложение в магазине RuStore с помощью RuStore Консоль. Поясняется, что пользователи могут покупать подписку на приложение, как настроить подписку, добавить дополнительные настройки, включая бесплатный и стартовый периоды.",https://www.rustore.ru/help/developers/monetization/create-app-subscription
28,"Инструкция по созданию платного товара в приложении RuStore Console. Шаги включают открытие консоли, выбор разовых покупок, добавление информации о товаре и публикацию.",https://www.rustore.ru/help/developers/monetization/create-paid-product-in-application
29,"Документ состоит из разделов, посвященных различным аспектам монетизации для разработчиков приложений на платформе RuStore. В тексте присутствуют ссылки на документацию и инструкции по аккаунту разработчика, публикации приложений, а также способы монетизации для юридических лиц, самозанятых и нерезидентов.",https://www.rustore.ru/help/developers/monetization/enable-monetization
30,"Этот текст содержит руководство по управлению платежами в RuStore Console. Пользователь может просматривать информацию о платежах по приложениям, для которых включена монетизация. Это включает дату и время покупки, номер счета, способ оплаты и другую информацию. Пользователь может также осуществлять поиск платежей по различным критериям.",https://www.rustore.ru/help/developers/monetization/manage-payments
31,Документация для разработчиков по монетизации приложений для иностранных компаний на платформе RuStore.,https://www.rustore.ru/help/developers/monetization/monetization-foreign-company
32,"Документация для разработчиков и пользователей RuStore, включая информацию о работе с SDK и API, сценарии использования, а также разделы о монетизации и отчетности.",https://www.rustore.ru/help/developers/monetization/monetization-repor
33,"Документация разработчиков RuStore содержит информацию о монетизации для самозанятых лиц, публикации и проверке приложений, а также о работе с аккаунтом разработчика.",https://www.rustore.ru/help/developers/monetization/monetization-self-employed
34,"Настройка уведомлений на сервер (server notification, callback) в RuStore Консоли позволяет получать в режиме реального времени информацию об изменении статусов платежей в приложении. Для этого необходимо настроить сервер и включить отправку уведомлений. Уведомления сообщают только об изменении статуса платежей, а для получения полной информации о платеже используется токен покупки `purchase_token`. RuStore будет повторно отправлять уведомления, если сервер не подтверждает их доставку.",https://www.rustore.ru/help/developers/monetization/payment-callback/
35,"Текст предлагает инструкцию по отключению отправки уведомлений для приложения в RuStore. Необходимо зайти в RuStore Консоль, выбрать раздел ""Монетизация"" -> ""Уведомления на сервер"" и выключить переключатель ""Отправлять уведомления"". Пока сервис отключен, уведомления не будут поступать. При необходимости можно запросить информацию о статусах платежей через RuStore API.",https://www.rustore.ru/help/developers/monetization/payment-callback/disable-notifications
36,"Текст содержит информацию о том, как изменить адрес сервера для получения уведомлений от RuStore. Для этого необходимо выполнить определенные шаги, описанные в тексте.",https://www.rustore.ru/help/developers/monetization/payment-callback/edit-server-name
37,"Страница содержит инструкцию о том, как включить отправку уведомлений о статусе платежей в приложении.",https://www.rustore.ru/help/developers/monetization/payment-callback/enable-notifications
38,Текст описывает структуру уведомления об изменении статуса платежа и тестового уведомления.,https://www.rustore.ru/help/developers/monetization/payment-callback/notification
39,Настройка сервера для получения уведомлений о платежах в реальном времени.,https://www.rustore.ru/help/developers/monetization/payment-callback/server-set-up
